"filename", "language", "JavaScript", "JSON", "Environment Variables", "comment", "blank", "total"
"c:\Users\ADARSH\Desktop\Retina.x\Utils\CatchAsync.js", "JavaScript", 10, 0, 0, 0, 1, 11
"c:\Users\ADARSH\Desktop\Retina.x\app.js", "JavaScript", 29, 0, 0, 8, 12, 49
"c:\Users\ADARSH\Desktop\Retina.x\config.env", "Environment Variables", 0, 0, 7, 1, 2, 10
"c:\Users\ADARSH\Desktop\Retina.x\config\mongodb.js", "JavaScript", 18, 0, 0, 0, 7, 25
"c:\Users\ADARSH\Desktop\Retina.x\controllers\Untitled-1.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\ADARSH\Desktop\Retina.x\controllers\auth.js", "JavaScript", 41, 0, 0, 5, 10, 56
"c:\Users\ADARSH\Desktop\Retina.x\controllers\authController.js", "JavaScript", 87, 0, 0, 10, 25, 122
"c:\Users\ADARSH\Desktop\Retina.x\controllers\credentials.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Users\ADARSH\Desktop\Retina.x\controllers\userController.js", "JavaScript", 497, 0, 0, 90, 109, 696
"c:\Users\ADARSH\Desktop\Retina.x\credentials.json", "JSON", 0, 13, 0, 0, 1, 14
"c:\Users\ADARSH\Desktop\Retina.x\models\ClientModel.js", "JavaScript", 62, 0, 0, 1, 4, 67
"c:\Users\ADARSH\Desktop\Retina.x\models\UserModel.js", "JavaScript", 111, 0, 0, 0, 24, 135
"c:\Users\ADARSH\Desktop\Retina.x\package-lock.json", "JSON", 0, 2851, 0, 0, 1, 2852
"c:\Users\ADARSH\Desktop\Retina.x\package.json", "JSON", 0, 34, 0, 0, 1, 35
"c:\Users\ADARSH\Desktop\Retina.x\routes\userRoutes.js", "JavaScript", 36, 0, 0, 1, 12, 49
"Total", "-", 891, 2911, 7, 116, 211, 4136